LSTM_dim	attn_dim	fc_dim	train	val_all	val_low	val_high
50	12	128	0.7146100199351334	0.7183106424457029	0.7665787818397322	0.6473698034645959
50	24	128	0.8145331866155772	0.7920864360977606	0.8645535905852946	0.7157245864023388
50	100	128	0.9018483481439056	0.8467298729794085	0.9158084794829681	0.7378245622436166
100	12	128	0.8842066769223358	0.7905217103978428	0.8508964007538469	0.6727567702502406
100	24	128	0.8706747204237795	0.7879422169523775	0.8558563743361007	0.6554859818651507
100	50	128	0.8924114327632949	0.7909276747448537	0.8506182360617481	0.6540720649799301
100	100	128	0.8463248683015164	0.7976290679775602	0.8784465223350519	0.6551095606111438
150	12	128	0.8551355840899709	0.8083403633937075	0.8811909347416537	0.6857439253919234
150	24	128	0.8726401201161001	0.7968795965779445	0.8745297338730351	0.6251596352333636
150	50	128	0.9058605348999939	1.0	0.75	0
dropout 0.3 from here on
50	12	128	0.807042812113268	0.7680919392407635	0.8316874126763781	0.6773697531208616
50	24	128	0.6806624671242322	0.7024563451612459	0.73165754807288	0.6815210236913306
50	100	128	0.8134636455061538	0.820281278302244	0.888776536360815	0.7375683968017067
100	12	128	0.7075220507822142	0.6893579421050917	0.7163112176520355	0.6536042190307512
100	24	128	0.8472099173837335	0.7952828690669778	0.8645647652342277	0.676720274963365
100	50	128	0.8817143917130685	0.7913754405592682	0.8625948886752404	0.6807311947783815
100	100	128	0.8473292691058839	0.7652799210887884	0.8250721761848036	0.6376629585430533
150	12	128	0.8553617495116468	0.8022010269360282	0.8803620207579401	0.6601631544898248
150	24	128	0.9057014217412901	0.7880094373459051	0.8566066677475387	0.6492235613247711
150	50	128	0.7244404771052562	0.7270602470131133	0.7658293285423027	0.6668093646608573
150	100	128	0.9052914953195345	0.7396430847338332	0.8036989720741408	0.6374966972813075
150	150	128	0.8558331460002033	0.7972546145051072	0.8583586300461248	0.6548654109866452
250	50	128	0.901059630665701	0.7872746718480454	0.8278317460708271	0.654007933384506
250	100	128	0.6571005621938175	0.7059719905192738	0.7281248904997029	0.670277094224942
250	150	128	0.6952865245865724	0.7128102304924087	0.7679923860437422	0.6645471425432297
LSTM_dim	attn_dim	fc_dim	train	val_all	val_low	val_high
150	100	128	0.8175267963715894	0.7594612460044264	0.81236376623738	0.6751194913088931
150	150	128	0.8513668611944015	0.7772521906506533	0.8340952106912605	0.6590773265869247
250	12	128	0.8539354093527016	0.7757939832869993	0.8298401500659891	0.6594479293314461
250	24	128	0.8303890778163924	0.73226733218483	0.7756613277879268	0.6457138561678991
250	50	128	0.8623163127648664	0.7938270343174476	0.8547784829178519	0.6869136476773363
250	100	128	0.900460373799078	0.7870109277788636	0.8246814718323875	0.6680262098903935
250	150	128	0.8756594556549184	0.7805826741827792	0.8112142566808921	0.6443664522491407
