LSTM_dim	attn_dim	fc_dim	epochs	val_all	val_low	val_high
LSTM_dim	attn_dim	fc_dim	epochs	val_all	val_low	val_high
50	100	128	500	0.7143943863024454	0.7603218521713148	0.64043960512392
50	150	128	500	0.803300353046197	0.875270416836951	0.7040918104484047
50	250	128	500	0.7065097729372309	0.7570041711468486	0.6284694699840124
100	24	128	500	0.8432947640761118	0.9212188098081865	0.6897475837583312
100	50	128	500	0.8383018244472749	0.9123850220450891	0.730562941016363
100	100	128	500	0.8001151566252751	0.8761869344830415	0.6469307816711578
100	150	128	500	0.6538287838959655	0.5547529323407628	0.5143568293573078
100	250	128	500	0.6265606729256173	0.5772700528635243	0.6066257365001115
150	24	128	500	1.0	0.75	0
LSTM_dim	attn_dim	fc_dim	epochs	val_all	val_low	val_high
