time (min)	LSTM_dim	attn_dim	fc_dim	train	val	test_all	test_low	test_high
18	50	100	128	0.77007287192416	0.7577368209312281	0.7556063914733309	0.8267675492143919	0.7205867598651705
25	50	100	128	0.7043586380130641	0.7072869952150532	0.7045031900488388	0.7678522350896432	0.6841812941358827
50	50	100	128	0.7864284652177167	0.7602761770960587	0.7438978016819436	0.8047799720507689	0.6906864879900341
73	50	100	128	0.7999630045154928	0.7499644107023031	0.7410359004304309	0.817188626081337	0.7223338849915564
97	50	100	128	0.8001655881123427	0.7743027101501274	0.7726207424641566	0.8510010076631654	0.707361389423576
120	50	100	128	0.7829159481762208	0.7540023355429963	0.7392468251475813	0.8138133371509655	0.6975091821146083
140	50	100	128	0.8495811879116184	0.7942759376673845	0.806054636476962	0.8923989933677744	0.7148385499776242
145	50	100	128	0.6988493120274872	0.7104196075717005	0.6955722577013017	0.7602054883444912	0.6897122970156336
152	50	100	128	0.6872060704845958	0.7040097108812021	0.6950801519064913	0.745693850369868	0.7053599981058517
time (min)	LSTM_dim	attn_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
22	50	100	128	0.2	0.8101313403306729	0.7622632750023685	0.7677625850630843	0.8513569141608591	0.7172268761288746
