time (min)	LSTM_dim	attn_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
time (min)	LSTM_dim	attn_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
time (min)	LSTM_dim	attn_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
time (min)	LSTM_dim	attn_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
24	50	100	128	0.2	0.8060708079428234	0.8006790799348108	0.7837708066735593	0.8591657036559474	0.731800005111479
20	50	100	128	0.2	0.8617714799213937	0.827267296048464	0.8216518480714252	0.9048724904119264	0.7599139811800196
11	50	100	128	0.2	0.7840928618260852	0.7898171591022574	0.7720121974212226	0.8484196570354329	0.7121550301960992
11	50	100	128	0.2	0.6980153770649841	0.7126832829526467	0.7031921569541699	0.7468420791875131	0.6799033964156346
30	50	100	128	0.2	0.8177241519963788	0.7880702205309623	0.7821377112154093	0.849603393904638	0.7330624637067491
9	50	100	128	0.2	0.7227118110083359	0.7273394446171764	0.7176725269413486	0.790188530451344	0.7103097011841031
time (min)	LSTM_dim	attn_dim	fc_dim	attn_dropout	train	val	test_all	test_low	test_high
