name	test_all (mean)	test_all (std)	test_low (mean)	test_low (std)	test_high (mean)	test_high (std)
SingleHead (5e-4)	0.801	0.021	0.850	0.025	0.710	0.016
SingleHead (1e-3)	0.832	0.025	0.885	0.029	0.737	0.028
WithConv	0.860	0.021	0.904	0.024	0.778	0.023
NoQuery	0.851	0.013	0.904	0.020	0.752	0.020
NoQueryConv	0.818	0.019	0.851	0.020	0.760	0.019
MultiHeads	0.865	0.011	0.919	0.018	0.768	0.018
MultiHeadsConv	0.824	0.010	0.855	0.017	0.762	0.025
MultiHeadsNoQuery	0.852	0.017	0.902	0.022	0.758	0.024
MultiHeadsConvNoQuery	0.846	0.017	0.882	0.022	0.775	0.016

HIPSCI_MAJIQ_DSC	0.808	0.010	0.850	0.011	0.721	0.010
HIPSCI_MAJIQ_D2V_MLP	0.715	0.007	0.741	0.007	0.672	0.014
HIPSCI_MAJIQ_BiLSTM	0.645	0.008	0.647	0.014	0.644	0.015

iPSC_DSC	0.822	0.013	0.852	0.011	0.715	0.020
iPSC_D2V_MLP	0.720	0.007	0.746	0.006	0.643	0.019
iPSC_Attn	0.875	0.016	0.903	0.017	0.750	0.018

HIPSCI_MAJIQ_NoLens_DSC	0.811	0.000	0.841	0.000	0.698	0.000
HIPSCI_MAJIQ_NoLens_D2V_MLP	0.665	0.000	0.685	0.000	0.608	0.000
HIPSCI_MAJIQ_NoLens_Attn	0.853	0.000	0.905	0.000	0.740	0.000

HIPSCI_SUPPA_D2V_MLP	0.606	0.016	0.604	0.012	0.677	0.048
HIPSCI_SUPPA_Attn	0.625	0.015	0.625	0.014	0.723	0.032
HIPSCI_SUPPA_DSC	0.613	0.017	0.616	0.011	0.689	0.038

HEXEvent_DSC	0.873	0.006	0.890	0.008	0.856	0.010
HEXEvent_D2V_MLP	0.896	0.004	0.909	0.006	0.884	0.010
HEXEvent_Attn	0.904	0.005	0.924	0.007	0.884	0.009
HEXEvent_BiLSTM	0.864	0.006	0.873	0.007	0.859	0.009

HEXEvent_NoLens_DSC	0.618	0.000	0.666	0.000	0.570	0.000
HEXEvent_NoLens_D2V_MLP	0.614	0.000	0.674	0.000	0.579	0.000
HEXEvent_NoLens_Attn	0.636	0.000	0.680	0.000	0.580	0.000

GTEx_Exon_Brain_DSC	0.664	0.011	0.695	0.011	0.583	0.017
GTEx_Exon_Brain_D2V_MLP	0.617	0.010	0.646	0.007	0.556	0.013
GTEx_Exon_Brain_Attn	0.645	0.022	0.680	0.027	0.581	0.029

GTEx_Exon_Cerebellum_DSC	0.649	0.008	0.675	0.011	0.583	0.013
GTEx_Exon_Cerebellum_D2V_MLP	0.610	0.008	0.635	0.010	0.559	0.020
GTEx_Exon_Cerebellum_Attn	0.631	0.029	0.653	0.033	0.572	0.026

GTEx_Exon_Heart_DSC	0.657	0.016	0.714	0.009	0.587	0.014
GTEx_Exon_Heart_D2V_MLP	0.604	0.009	0.663	0.015	0.552	0.014
GTEx_Exon_Heart_Attn	0.627	0.014	0.677	0.020	0.568	0.028

GTEx_Exon_Brain_NoLens_DSC	0.657	0.025	0.678	0.022	0.596	0.028
GTEx_Exon_Brain_NoLens_Attn	0.639	0.026	0.658	0.032	0.576	0.026
GTEx_Exon_Brain_NoLens_D2V_MLP	0.587	0.012	0.614	0.007	0.522	0.017


GTEx_Junc_Brain_Attn	0.810	0.012	0.823	0.010	0.760	0.010
GTEx_Junc_Cerebellum_Attn	0.808	0.008	0.826	0.008	0.754	0.010
GTEx_Junc_Heart_Attn	0.782	0.032	0.791	0.033	0.739	0.025


GTEx_Junc_Brain_D2V_MLP	0.671	0.003	0.676	0.004	0.658	0.005
GTEx_Junc_Cerebellum_D2V_MLP	0.673	0.004	0.683	0.004	0.645	0.008
GTEx_Junc_Heart_D2V_MLP	0.677	0.005	0.680	0.005	0.673	0.017


GTEx_Junc_Brain_DSC	0.699	0.006	0.704	0.003	0.679	0.013
GTEx_Junc_Cerebellum_DSC	0.704	0.006	0.716	0.007	0.671	0.009
GTEx_Junc_Heart_DSC	0.699	0.008	0.701	0.008	0.698	0.010

GTEx_Junc_Brain_DSC	0.689	0.000	0.702	0.000	0.677	0.000
GTEx_Junc_Brain_D2V_MLP	0.670	0.000	0.680	0.000	0.663	0.000
GTEx_Junc_Brain_Attn	0.798	0.000	0.820	0.000	0.755	0.000

GTEx_Junc_Cerebellum_DSC	0.715	0.000	0.731	0.000	0.669	0.000
GTEx_Junc_Cerebellum_D2V_MLP	0.675	0.000	0.688	0.000	0.636	0.000
GTEx_Junc_Cerebellum_Attn	0.803	0.000	0.819	0.000	0.744	0.000

GTEx_Junc_Heart_DSC	0.685	0.000	0.684	0.000	0.697	0.000
GTEx_Junc_Heart_D2V_MLP	0.671	0.000	0.673	0.000	0.675	0.000
GTEx_Junc_Heart_Attn	0.768	0.000	0.777	0.000	0.746	0.000

HIPSCI_MAJIQ_Junc_DSC	0.686	0.000	0.708	0.000	0.669	0.000
HIPSCI_MAJIQ_Junc_Attn	0.696	0.000	0.717	0.000	0.670	0.000
HIPSCI_MAJIQ_Junc_D2V_MLP	0.683	0.000	0.703	0.000	0.666	0.000

GTEx_Junc_Cerebellum_NoLens_DSC	0.661	0.000	0.669	0.000	0.643	0.000
GTEx_Junc_Cerebellum_NoLens_D2V_MLP	0.629	0.000	0.633	0.000	0.609	0.000
GTEx_Junc_Cerebellum_NoLens_Attn	0.776	0.000	0.790	0.000	0.725	0.000
HIPSCI_MAJIQ_Regression_D2V_MLP	0.120	0.009	0.155	0.010	-57.523	2.771
HIPSCI_MAJIQ_Regression_DSC	0.244	0.036	0.340	0.039	-77.980	13.631
